timestamp_s,roll_deg,pitch_deg,yaw_deg
3.888,0.023959456,0.008047045,0.0016775426
3.892,0.023576166,0.007907567,0.0016250989
3.904,0.022810208,0.0074887024,0.001755675
3.908,0.022466937,0.0073700114,0.0017889203
3.908,0.022072952,0.0073380847,0.0016472795
3.912,0.021631135,0.0072692987,0.0017697742
3.916,0.021499515,0.0069948295,0.0018292433
3.92,0.021201769,0.006744046,0.0018781304
3.924,0.020697968,0.0068510836,0.0019089928
3.928,0.020309288,0.0068327067,0.0018875565
3.932,0.020018488,0.006742394,0.0018759251
3.936,0.019773915,0.0066057425,0.0017827377
3.94,0.01934874,0.0065694964,0.0019472125
3.944,0.01897488,0.006834064,0.0021999632
3.948,0.01874407,0.007208083,0.0022732734
3.952,0.0185701,0.007453461,0.0022519764
3.956,0.018371103,0.0075522535,0.0020980737
3.96,0.017882437,0.007574712,0.0019328431
3.964,0.017479122,0.0074599762,0.0017742408
3.968,0.016982805,0.0072169774,0.0015401995
3.972,0.016430462,0.006942111,0.0015225112
3.976,0.016335603,0.0067983363,0.0015226243
3.98,0.016423069,0.006883565,0.0013057606
3.984,0.016228318,0.007133908,0.0010464832
3.988,0.015953586,0.007278458,0.00069900544
3.992,0.01574835,0.0072967443,0.0003408923
3.996,0.015431529,0.0070942426,6.166773e-05
4.0,0.014994367,0.0067310776,-2.757395e-05
4.004,0.014538787,0.006745607,-8.978093e-05
4.008,0.014096074,0.006893699,-0.00028110895
4.012,0.014018802,0.007375635,-0.00021354518
4.016,0.013625192,0.0072308104,-0.00053175766
4.02,0.013174466,0.0071089966,-0.0006486565
4.024,0.012557646,0.006938303,-0.0006092337
4.028,0.012240204,0.0068692155,-0.00059357716
4.032,0.011844572,0.0069644284,-0.0006160363
4.036,0.011000724,0.006777448,-0.0005762278
4.04,0.010399468,0.006651158,-0.000668013
4.044,0.010100956,0.006741787,-0.0010497093
4.048,0.009744703,0.0065359417,-0.0012515306
4.052,0.009369401,0.0063308515,-0.0014277844
4.056,0.009241671,0.0062064524,-0.001720203
4.06,0.0089669945,0.006002263,-0.0018945937
4.064,0.008362633,0.0056864456,-0.0019148128
4.068,0.007946367,0.005453468,-0.0020722519
4.072,0.00789899,0.0053605274,-0.0022199503
4.076,0.0075898124,0.005182832,-0.0023213634
4.08,0.0072468086,0.0048837634,-0.0024960835
4.084,0.00712197,0.004696651,-0.0025613
4.088,0.006892794,0.0047550094,-0.0023926748
4.092,0.0066870814,0.0048917676,-0.0021366377
4.096,0.006592042,0.004858312,-0.0020134244
4.1,0.0067196307,0.004637359,-0.002028752
4.104,0.0068561924,0.0044732327,-0.0019699761
4.108,0.006679924,0.00452544,-0.0019042507
4.112,0.006344942,0.0044893115,-0.0017436167
4.116,0.006023649,0.004229687,-0.0014177974
4.12,0.0057706414,0.0040810797,-0.0010657798
4.124,0.005559071,0.004061464,-0.0008332977
4.128,0.0053459764,0.004039759,-0.00054212415
4.132,0.005192605,0.003954061,-0.00030091207
4.136,0.005059711,0.0039515225,-0.00028641263
4.14,0.004828488,0.004034732,-1.7000955e-05
