timestamp_s,roll_deg,pitch_deg,yaw_deg
5.728,0.0047970405,0.022228532,-0.0049786023
5.732,0.0047328416,0.021793086,-0.0049461275
5.736,0.0048639164,0.021299394,-0.0048806053
5.74,0.0051351204,0.020729354,-0.004807584
5.744,0.0049054576,0.020296587,-0.0046661245
5.748,0.004427073,0.020047706,-0.0046241297
5.752,0.004095718,0.019489517,-0.0043986663
5.756,0.0036732226,0.01907468,-0.004156669
5.76,0.0035717734,0.018718358,-0.0041656774
5.764,0.0037606217,0.018092237,-0.0040709614
5.768,0.003762778,0.017791865,-0.0038753038
5.772,0.003874603,0.01755539,-0.003804178
5.776,0.0039078654,0.017109832,-0.0038210459
5.78,0.0037850868,0.016608067,-0.003780141
5.784,0.0037803745,0.01603531,-0.0034871572
5.788,0.0036224972,0.01556146,-0.003259138
5.792,0.003326356,0.015170295,-0.0032211118
5.796,0.0030649349,0.014695319,-0.0032095702
5.8,0.0029952861,0.013979363,-0.0032432782
5.804,0.0028491283,0.013277572,-0.0029095216
5.808,0.0026213832,0.012886905,-0.002756388
5.812,0.0025768015,0.0125058135,-0.0028325398
5.816,0.0024831388,0.012025167,-0.0026289374
5.82,0.002259901,0.011747337,-0.002352163
5.824,0.0021291166,0.01148868,-0.0020940339
5.828,0.0020076018,0.010973074,-0.0019706353
5.832,0.0018104333,0.010536803,-0.0018832582
5.836,0.0019776484,0.010063586,-0.0018430761
5.84,0.0022804267,0.009430967,-0.001878042
5.844,0.0022887934,0.008857517,-0.0018957527
5.848,0.0022567117,0.008360107,-0.0019625009
5.852,0.0022307946,0.007978923,-0.001928107
5.856,0.0022713572,0.0075368616,-0.0017967668
5.86,0.0022152704,0.0070495494,-0.0018089411
5.864,0.0020448058,0.006671032,-0.0019014472
5.868,0.0021328535,0.0063789063,-0.0019126496
5.872,0.0021710976,0.00599157,-0.0019399768
5.876,0.0019416931,0.005354679,-0.002007546
5.88,0.0016952126,0.004805997,-0.0019336301
5.884,0.0015610418,0.0044956165,-0.0016922376
5.888,0.0015347722,0.004255565,-0.0014516102
5.892,0.0015355584,0.0038634723,-0.0012840048
5.896,0.0013810804,0.0033868458,-0.0012382688
5.9,0.0012016351,0.0028834778,-0.0013324794
5.904,0.0009745777,0.0026618445,-0.0013008415
5.908,0.00067090726,0.002486698,-0.0012326867
5.912,0.0005721421,0.0020665054,-0.0011829766
5.916,0.00064720766,0.0017407781,-0.0011988375
5.92,0.0007577104,0.0014291932,-0.0011965933
5.924,0.0007630195,0.0011136369,-0.0010405544
5.928,0.0008265997,0.00090040464,-0.0008495409
5.932,0.00091020705,0.00062787585,-0.00072525005
5.936,0.0008452928,0.00027162684,-0.00047230106
5.94,0.000695421,5.414519e-05,-0.00012820808
5.944,0.00062158215,-4.4836255e-05,8.0597245e-05
5.948,0.00054119894,-0.00022789095,0.00034055064
5.952,0.00032031955,-0.0002485129,0.00061562785
5.956,0.0001511436,-0.00034233253,0.00072827766
5.96,-3.3583263e-05,-0.00045222085,0.00084368116
5.964,-0.00013200879,-0.000673347,0.000867258
5.968,-2.7110273e-05,-0.0009921532,0.00097048044
5.972,-3.9547107e-05,-0.0010842466,0.0011223477
5.976,-0.0002600285,-0.0011249912,0.0011904868
5.98,-0.00051846146,-0.0013742773,0.0013614804
5.984,-0.0005947945,-0.0015192115,0.0015357101
5.988,-0.00066519313,-0.0015463781,0.0017065338
5.992,-0.0010374099,-0.0017343992,0.0018229325
5.996,-0.001416919,-0.001981012,0.0017989508
6.0,-0.0015584686,-0.0022208842,0.0017342468
6.004,-0.001595388,-0.002416248,0.0016972504
6.008,-0.0016303005,-0.0024595466,0.0016391568
6.012,-0.0018284487,-0.002547408,0.0016995057
6.016,-0.0021377543,-0.0026345935,0.0017527309
6.02,-0.0024996893,-0.0025041942,0.0016996134
6.024,-0.002846861,-0.0023379545,0.0016686838
6.028,-0.0029925182,-0.0023298538,0.0017686781
6.032,-0.0032464713,-0.0024554206,0.001998895
6.036,-0.0034739517,-0.0024669643,0.0021351294
6.04,-0.0035611757,-0.0027356632,0.0021913755
6.044,-0.003714521,-0.0030506067,0.0023199741
6.048,-0.0039057229,-0.0033212344,0.0024480117
6.052,-0.0040654396,-0.003571856,0.002600871
6.056,-0.004190481,-0.0033745551,0.0029258635
6.06,-0.0042898157,-0.003327614,0.0032207705
6.064,-0.004416421,-0.0035424721,0.0033397623
6.068,-0.0045350576,-0.003832994,0.0034278657
6.072,-0.0047318502,-0.0042243367,0.0033449826
6.076,-0.0049641575,-0.0045247055,0.0032936938
6.08,-0.0050311917,-0.004476055,0.003330816
6.084,-0.004925098,-0.004261879,0.003282885
6.088,-0.004762113,-0.0042012446,0.0033421523
6.092,-0.0046774913,-0.0041978923,0.0036363392
6.096,-0.0046665776,-0.0040470506,0.0037482083
6.1,-0.004725406,-0.0039142654,0.0035741618
6.104,-0.0046320907,-0.0038302126,0.0034196675
6.108,-0.0047770925,-0.00383081,0.0034891614
6.112,-0.004968386,-0.003802633,0.003464719
6.116,-0.004997629,-0.0036200264,0.003312691
6.12,-0.005050921,-0.0034610112,0.0032881924
6.124,-0.0050078114,-0.0034596124,0.0032373518
6.128,-0.004989298,-0.0037378592,0.0032217898
6.132,-0.004952203,-0.003959065,0.0033436914
6.136,-0.0050606714,-0.0038628099,0.0036935671
6.14,-0.0050559393,-0.0038068397,0.0038422067
6.144,-0.0048670974,-0.0038784533,0.0037081563
6.148,-0.004921633,-0.003850453,0.003803591
6.152,-0.0048217773,-0.0037616563,0.003997972
6.156,-0.004825067,-0.0035928735,0.003977032
6.16,-0.0049903924,-0.0034533078,0.0038937058
6.164,-0.0051273643,-0.003576519,0.004038283
6.168,-0.005375672,-0.0037126674,0.004305405
