timestamp_s,rollspeed,pitchspeed,yawspeed
3.82,0.00025242768,-7.139103e-06,-0.00074327854
3.824,0.0008485102,1.1162592e-05,1.31685665e-05
3.832,6.0481474e-05,-0.0009373365,0.00039199382
3.84,-0.00079819723,-0.00026282505,-0.00021650805
3.852,0.0013543004,0.0011010007,-1.2159481e-05
3.856,0.00131635,0.00045742668,0.00023695051
3.868,-0.0007400073,0.0006193903,0.0002064586
3.876,-0.000519996,0.00037471642,0.00020841391
3.888,0.00086762046,-5.9002774e-05,-0.00055214984
3.9,-0.0006706061,6.9866765e-05,-0.0005766821
3.908,-0.00019974832,0.00015875018,-2.9444063e-05
3.92,-0.00036475036,-0.0007839538,-0.0005125469
3.928,2.4748158e-05,-0.00095722853,-4.8488982e-05
3.94,-9.406989e-05,-0.0008196062,-0.00016871194
3.952,-0.00029553135,-0.00018952946,0.00076310796
3.956,0.00045736966,-0.00016849925,0.00032931953
3.972,-0.00044252162,0.00068341754,0.00015243336
3.98,0.00040432755,-9.999885e-05,-0.00024446117
3.992,0.00027501807,-0.00066401734,1.7192333e-05
4.0,7.5729826e-05,-0.0006147207,0.00033301106
4.012,-9.444208e-05,-0.000739924,0.00036406144
4.02,2.0859407e-05,-0.0007142044,-9.440157e-06
4.032,0.00088479905,-0.00051171565,2.386274e-06
4.04,0.0011146095,-0.00048617978,-0.00022756898
4.052,0.00059354206,-0.0008366716,-0.0009328823
4.06,0.00015947004,-0.0011234246,-0.000111126195
4.072,0.00019655187,-0.00050164585,0.0006049062
4.08,-9.245086e-05,-0.0011384251,0.0010047494
4.092,7.250965e-05,-0.0003591127,0.00017619248
4.1,0.00018874701,-0.00021166989,0.00044209335
4.112,0.00039062227,0.0004803596,0.0009538598
4.12,-0.0010239396,0.00030964712,0.0006270305
4.132,-0.00015589016,-0.00042346912,0.00017574582
4.14,-0.0005510418,-9.50064e-06,0.000103002756
4.152,9.707406e-05,-0.00036854262,0.00018483818
4.16,0.00060221594,-0.00022317302,0.00016458379
4.172,-0.001685662,-0.00039133686,-0.0005963436
4.18,-9.53144e-05,-8.936857e-05,-0.0003262116
4.192,7.684699e-06,0.00029354583,0.0001763353
4.2,0.00041870223,-0.00019338599,0.00041820217
4.212,-0.00015138937,-0.0006608182,0.00041144414
4.22,0.001120748,-0.0010867644,-0.0003234762
4.232,0.0006282049,-0.00070909894,-0.00061759155
4.24,-0.00034140292,0.00088885933,0.00077616813
4.252,0.00059306924,0.000489443,-0.0010751182
4.26,0.00031336595,0.0002771165,-0.00020999505
4.272,-0.0006388267,-0.00023620849,-0.00016415687
4.28,0.00025519624,-0.00013000562,-0.0005271666
4.292,0.00050138537,3.0782874e-05,0.00079486065
4.3,3.9133593e-05,-0.0006390901,0.00013340758
4.312,0.00020974941,-0.00072278193,0.00041419803
4.32,0.0005049151,0.0009168941,-0.00025974822
4.332,-0.0001753658,-2.3849803e-05,0.00047527294
4.34,0.0006086066,-0.0006836082,0.00040070782
4.352,-0.00095560943,6.668824e-05,-0.0002111398
4.36,-0.001087371,-0.00026605977,-0.0006980619
4.372,-9.359678e-05,0.00019895013,-0.00010537157
4.38,0.0008871208,0.00054578163,-0.00024998328
4.392,0.00030873524,0.00016432106,1.7370377e-05
4.4,0.0006420393,0.0006353225,-0.00057966664
4.412,0.0001461751,-8.57588e-05,-0.0009225382
4.42,0.00016841575,0.00019295079,4.3996686e-05
4.432,-0.001033817,0.000230853,-0.0008682707
4.44,-0.000568757,0.00030145794,0.0005875246
4.452,0.0003933871,-0.0010118549,2.2185273e-05
4.46,-7.120778e-05,-0.00044453435,0.000245866
4.472,-0.00026730308,0.0007228408,0.0005303836
4.48,0.0006030151,-0.0008996663,-4.072344e-05
4.492,0.00055411336,-0.00050668285,0.00047313576
4.5,0.0004344437,-3.0052615e-07,0.00047570627
4.512,0.00030242017,-0.0005583111,0.00029755273
4.52,-0.00019491854,-0.000868618,-5.474405e-05
4.532,-0.00068183657,-0.00026312738,-8.673044e-05
4.54,-0.00033942258,-0.00012276106,0.00038235675
4.552,-0.00013887635,0.00027290662,0.0005066781
4.56,0.0007561297,0.00063856744,-0.00036605285
4.572,0.0010673357,4.4873872e-05,0.00016909967
4.58,0.0011115784,0.00021287832,0.00011480168
4.592,0.00023093467,-0.00042256725,-0.00012069907
4.6,-8.727525e-05,-0.00039048516,-0.00049989304
4.612,0.00051771326,-3.0109644e-05,-1.0883125e-05
4.62,-0.0006624097,-9.633971e-05,2.4848949e-05
4.632,7.82293e-05,-0.00052720984,-0.00021312524
4.64,-0.00028330562,-0.0006820459,0.000104863946
4.652,-0.00030584467,0.00030419428,0.00043090302
4.66,0.00081859494,-0.0001351222,-0.00014801751
4.672,0.0007577721,0.00031292444,0.00038834396
4.68,0.00074098556,-0.0003950189,0.00010093037
4.692,-0.00030381265,-0.000112484355,-0.00027729024
4.7,-0.0002872737,-9.539265e-05,-0.0002928962
4.712,-1.3378325e-05,-0.0008746925,1.45019e-05
4.72,0.00038876172,-0.0011980528,-0.00043564523
4.732,0.00044259275,-0.00021044855,-0.00045408448
4.74,0.0016760534,0.00041760085,-0.00023789114
4.752,-0.0003564087,3.8753817e-05,0.00055316044
4.76,0.00026194137,-0.00030707975,0.00035813506
4.772,-0.00023228434,-0.00067767175,-0.0001478542
4.78,-0.00076934864,0.00036611588,-0.00044123584
4.792,0.0003547666,-0.0009303539,0.00055153674
4.8,0.0008620585,-0.00055236544,-0.00015181254
4.812,0.00022392193,0.00044121436,0.00016260707
4.82,-0.0001369658,2.5813642e-07,-8.90328e-07
4.832,0.0003213644,-0.00010753012,-1.0303609e-05
4.84,-0.000107283406,-0.00031287837,-0.00045399021
4.852,-0.0005438498,-0.00020872222,0.0005021325
4.86,-0.00025289503,-0.0003389201,-0.00030366273
4.872,0.0007675797,0.0004768857,0.0006437001
4.88,0.00073815574,0.00018438905,0.00035319905
4.892,-0.00051472394,-0.0014660746,6.457614e-05
4.9,-0.0003575683,-0.00057036674,-0.0007586508
4.912,0.000558343,-0.00025814798,0.0004605637
4.92,0.0004398006,-0.00010026251,-0.0006815817
4.932,0.00058511767,2.3880622e-05,0.0007796287
4.94,0.0008187734,-0.0009922044,0.00036906727
4.952,4.5732886e-06,-0.00036120389,-0.00012615332
4.96,-0.0011581164,-0.00062926224,-3.8142352e-05
4.972,0.00026888103,-0.00067425,-0.0012831046
4.98,0.00031514803,-0.00016265982,-0.0011880529
4.992,-0.00026212737,0.000824037,3.0096846e-05
5.0,0.0005617217,0.00012458846,0.0004611709
5.012,0.00025609042,0.0007602641,-0.00028055528
5.02,0.0001524364,0.00033859373,-0.00046203865
5.032,0.00023991747,1.05227045e-05,-5.011927e-05
5.04,0.0002336898,0.0007410842,0.0008360698
5.052,0.00084610883,-0.0006440175,-0.00023052163
5.06,0.00034289656,6.424528e-05,5.7931356e-05
5.072,-0.00059214764,-0.0005144537,0.00054372154
5.08,8.155983e-05,7.768749e-05,0.00017180899
5.092,0.00018508529,-0.0006794847,-0.00012550289
5.1,-1.3336299e-05,-0.00022904038,-0.00011384982
5.112,-0.00058741466,-0.00034028356,2.6299847e-05
5.12,0.00037284842,-7.7333745e-05,-1.2617962e-05
5.132,0.0010041344,-2.8279555e-05,0.00018192979
5.14,-0.00035029108,0.0004326959,2.2763923e-05
5.152,-0.00014500733,-0.00034035477,0.00041920514
5.16,-0.00043564104,-0.0006851139,0.00019239252
5.172,-0.00069162494,-0.00019664524,-0.000752823
5.18,0.0006740477,0.0007207414,0.00023860736
5.192,0.0005007898,0.0010932434,-0.0011090024
5.2,0.00028098997,0.00054965494,-0.0001746412
5.212,-0.00015009686,-0.00022954427,-0.0004904115
5.22,0.0006262037,-0.00032884843,-0.0004484285
5.232,0.0005250673,-0.00028765787,0.00010941224
5.24,0.0002253997,0.00023062894,-0.00012612125
5.252,5.5671273e-05,-0.00034262575,3.636484e-05
5.26,-0.0004516668,-0.0002890171,-8.974944e-05
5.272,0.00024227847,-2.773407e-05,-0.00040629334
5.28,1.995975e-05,0.00044821567,-0.0005921803
5.292,0.00047658733,-0.0004598159,-0.0003099749
5.3,-0.00030260973,-0.00024085277,-0.00011311202
5.312,-0.00021527844,0.00018086543,9.115485e-05
5.32,0.0005785349,0.0005782932,0.00028136457
5.332,0.0005502298,-0.00071549346,0.0005831672
5.34,0.0013691076,0.00042952734,-0.00036429238
5.352,0.0006027908,0.0008414469,-7.924056e-05
5.36,0.00069077674,0.0008737962,0.0005027923
5.372,-0.00045815224,-0.00016492457,-0.0010718551
5.38,0.0001996149,0.00042255965,-3.198961e-05
5.392,0.00017451696,0.001205692,-0.0002421303
5.4,0.00069983257,-0.00031677773,0.00017503148
5.412,-0.0009075542,4.731832e-05,-0.00021631763
5.42,-7.445102e-05,0.00047649676,0.00015898353
5.432,0.00044717733,0.0006383614,0.00043297213
5.44,0.0004101225,6.270806e-05,-0.000158045
5.452,5.485068e-06,0.00017959444,-0.00073956634
5.46,-0.00046399687,0.0005058786,-0.00068100594
5.472,-0.000111928326,0.0002602546,0.0003324269
5.48,0.0002196178,0.00017233443,3.949313e-05
5.492,-8.3677485e-05,-8.372394e-05,-0.0005867787
5.5,0.0005196069,0.00024644705,-7.563501e-05
5.512,-0.00013603244,0.00041417798,-0.0004333257
5.52,0.0012626019,-0.00020774314,-0.00081236975
5.532,0.00028495997,-0.0007363359,-3.824244e-05
5.54,0.00032072648,0.00022011818,0.0002953738
5.552,0.00030703825,0.0003379664,-0.00069954287
5.56,0.00030189165,-0.0005549309,0.00028502024
5.572,-0.00063394365,0.0006670819,0.00026900857
5.58,-0.0007542013,-4.1800537e-05,0.00021563002
5.592,0.0013183746,-0.0009293755,-0.0002398545
5.6,0.0009151579,0.00022598622,-0.0002517165
5.612,0.0002689617,-0.00021638467,0.00043684227
5.62,-0.00017682326,2.357221e-06,0.00054437545
5.632,0.0008960098,0.0006648168,0.00027285243
5.64,0.0006476997,0.00034802605,-0.000273332
5.652,-0.000515824,-0.00010214736,-1.8282857e-05
5.66,-0.00021679215,0.00027477357,0.0003638901
5.672,-0.00083649583,0.0007710799,0.00013557007
5.68,0.00017857838,0.0003214755,-0.00022437343
5.692,0.000938605,0.00027737886,0.0005419393
5.7,0.00018681091,0.0004414585,-9.417006e-06
5.712,0.00093350356,0.00044511305,0.00039692238
5.72,-0.00016928985,-9.420003e-05,-4.7934598e-05
5.732,0.0006312477,-3.1595617e-05,0.0007494595
5.74,5.6517754e-05,-0.00041328362,0.000104067825
5.752,0.00017732431,-0.00024206437,-8.594133e-05
5.76,0.0004137608,0.0010209,8.704589e-05
5.772,-0.0005252235,0.00039045687,-0.00030930748
5.78,-0.0006463422,0.0005859734,0.00084761414
5.792,0.00015976165,-0.0001092126,-0.00023589468
5.8,0.0007911495,0.00019789115,0.00036276842
5.812,0.00070145866,-0.00022858172,-0.00036561384
5.82,-0.00010258159,0.00024967003,-0.00017545222
5.832,-3.797008e-05,0.0002661609,-4.1633746e-05
5.84,-3.0351686e-05,0.00016661744,0.00043379035
5.852,-0.00028115665,1.7910359e-05,0.0008911426
5.86,0.00071369763,-0.00036817207,0.00026681233
5.872,-0.0005497518,-0.000107452324,-0.0003570247
5.88,-0.0013248017,0.0003062955,0.0012237412
5.892,2.4242396e-05,5.1796556e-05,0.00044734598
5.9,-0.0002983818,0.00035276744,-4.6724424e-05
5.912,0.00069112197,0.0012055365,-0.00078328256
5.92,0.00020826692,-0.00038471658,0.00038860668
5.932,-0.0003510018,0.0010013353,0.0005339838
5.94,0.00018934131,-8.8771805e-05,0.00065105857
5.952,-0.00043571964,-0.00027261776,-0.00038478954
5.96,0.00057783804,-0.00088968896,5.7968922e-05
5.972,0.00015796609,-0.00011022939,0.0004210228
5.98,-0.00035513737,7.409513e-05,-0.0004413466
5.992,-0.00024939165,-7.001695e-05,0.0005413419
6.0,0.00011926177,0.0012144977,0.0006707959
6.012,0.0002906425,0.0004790152,-4.883345e-05
6.02,-0.0002075379,4.8878268e-05,-0.00035553123
6.032,0.000462784,0.0003446735,0.0006826365
6.04,-0.0007385008,0.0004709201,4.6583536e-05
6.052,0.0013271767,0.0003699376,-0.00069492526
6.06,0.00048537954,0.0006975616,-0.00030541848
6.072,-0.00053429254,0.00034485554,-6.495433e-05
6.08,-0.0007816753,0.00028079425,0.00038365848
6.092,-0.000874258,-6.802161e-06,0.0005175664
6.1,-0.0005745939,-0.0006613302,0.00049484265
6.112,0.00039916797,-0.0008546008,0.00040483684
6.12,0.0006583198,-0.00018802441,0.00038410476
6.132,-0.00020208977,-4.05598e-05,-0.0006562704
6.14,-1.6721224e-05,-0.00014326895,0.00064775284
6.152,0.0006339636,-0.0008670153,0.00030358366
6.16,0.0006276864,-0.001017662,0.00045993985
6.172,-0.0005901663,0.00019771073,0.00032539893
6.18,-7.8727935e-06,0.00023826202,-0.0007089539
6.192,0.0003569346,0.00044661306,-0.0006204661
6.2,0.00052550464,0.00021184301,0.0002078544
6.212,0.0003322568,9.063587e-05,-0.00046463657
6.22,0.0009785556,0.00033584406,-0.00041577654
6.232,0.0007334461,-0.00010283984,-0.00060169806
6.24,3.6745394e-05,-0.00011440294,-0.00052754313
6.252,-9.119477e-05,0.000105394276,-0.00010271214
6.26,-0.00024763058,0.0003485736,-0.00020303113
6.272,-0.0003432497,-0.00011705969,0.0003553352
6.28,-0.00045452968,0.00013261914,-0.0004581348
6.292,-0.00028356473,-0.00054017245,-0.00015312298
6.3,-0.00030473113,-0.0001425397,-0.000452144
6.312,1.34081165e-05,-3.1672193e-05,-0.00041558058
6.32,-0.0005649917,0.00044915304,-0.00023749137
6.332,-0.000108629494,0.00032519022,-0.0006576729
6.34,-0.00034534576,-3.530438e-05,-0.0007510346
6.352,0.00045777904,0.00031097757,0.00046695265
6.36,5.873177e-05,0.0003446064,0.00017554149
6.372,0.000238777,-0.00026055015,0.00054705655
6.38,-0.0004509287,0.00017146676,0.00029438513
6.392,0.00071670575,0.00013615697,0.00019757393
6.4,0.0007443802,0.00035142535,-0.00014929245
6.412,-0.0008685315,-0.000462884,-5.9575777e-05
