timestamp_s,output[0],output[1],output[2],output[3]
19.52,765.0,765.0,764.0,764.0
19.62,766.0,766.0,765.0,765.0
19.72,766.0,766.0,765.0,765.0
19.82,766.0,766.0,766.0,766.0
19.92,766.0,766.0,766.0,766.0
20.02,766.0,766.0,767.0,766.0
20.12,766.0,766.0,767.0,766.0
20.22,766.0,767.0,767.0,767.0
20.32,766.0,766.0,767.0,767.0
20.42,766.0,766.0,767.0,767.0
20.52,766.0,766.0,766.0,766.0
20.62,731.0,730.0,729.0,730.0
20.72,748.0,750.0,748.0,747.0
20.82,761.0,762.0,760.0,759.0
20.916,768.0,769.0,766.0,766.0
21.02,771.0,771.0,770.0,770.0
21.12,773.0,773.0,772.0,772.0
21.22,773.0,773.0,772.0,773.0
21.32,772.0,772.0,772.0,772.0
21.42,772.0,771.0,772.0,772.0
21.52,770.0,770.0,771.0,771.0
21.62,769.0,770.0,770.0,770.0
21.72,769.0,769.0,770.0,770.0
21.82,769.0,768.0,769.0,769.0
21.92,769.0,769.0,769.0,769.0
22.02,768.0,769.0,769.0,769.0
22.12,768.0,769.0,769.0,769.0
22.22,768.0,768.0,768.0,769.0
22.32,769.0,769.0,769.0,769.0
22.42,769.0,769.0,769.0,769.0
22.52,769.0,769.0,769.0,769.0
22.62,770.0,769.0,769.0,769.0
22.72,769.0,769.0,769.0,769.0
22.82,769.0,769.0,769.0,769.0
22.92,770.0,768.0,769.0,769.0
23.02,769.0,769.0,769.0,770.0
23.12,769.0,769.0,770.0,770.0
23.22,770.0,770.0,770.0,770.0
23.32,770.0,770.0,770.0,771.0
23.42,770.0,770.0,771.0,770.0
23.52,770.0,769.0,770.0,770.0
23.62,769.0,770.0,769.0,769.0
23.72,769.0,770.0,769.0,769.0
23.82,769.0,769.0,769.0,768.0
23.92,768.0,769.0,768.0,768.0
24.02,769.0,769.0,768.0,768.0
24.12,769.0,769.0,768.0,768.0
24.22,769.0,769.0,769.0,769.0
24.32,769.0,769.0,769.0,769.0
24.42,769.0,769.0,769.0,769.0
24.52,769.0,769.0,769.0,769.0
24.616,769.0,769.0,769.0,769.0
24.72,769.0,769.0,770.0,769.0
24.82,769.0,770.0,770.0,770.0
24.92,769.0,770.0,770.0,770.0
25.02,770.0,770.0,770.0,770.0
25.12,770.0,770.0,771.0,770.0
25.22,771.0,771.0,770.0,770.0
25.32,771.0,770.0,770.0,770.0
25.42,770.0,770.0,769.0,769.0
25.52,769.0,770.0,769.0,769.0
25.62,769.0,769.0,769.0,768.0
25.72,769.0,769.0,768.0,768.0
25.82,768.0,768.0,768.0,768.0
25.92,768.0,769.0,768.0,768.0
26.02,768.0,768.0,768.0,768.0
26.12,768.0,768.0,768.0,768.0
26.22,768.0,768.0,768.0,768.0
26.32,768.0,768.0,768.0,768.0
26.42,768.0,768.0,768.0,768.0
26.52,768.0,768.0,769.0,769.0
26.62,769.0,768.0,769.0,769.0
26.72,769.0,769.0,769.0,769.0
26.82,768.0,769.0,769.0,768.0
26.92,769.0,769.0,768.0,768.0
