timestamp_s,rollspeed,pitchspeed,yawspeed
2.96,0.00017081795,-0.00030224473,-0.0003041687
2.964,-0.000606981,-0.00016581478,-9.808223e-05
2.972,-0.00043758014,-0.00026057102,-0.00016306824
2.98,-4.2163614e-05,-0.00047260907,8.657716e-05
2.992,0.0006153698,-0.00017161097,-0.00026504806
3.0,-0.00024138302,0.00022656377,-0.00019725409
3.012,-0.00035611197,0.00014964877,-0.00053789583
3.016,-0.00011441719,-6.4105116e-05,-0.00013454392
3.028,0.00043664032,-0.0005154902,-0.00034133784
3.036,0.0003708991,0.00018039132,-0.00081851357
3.048,6.467068e-05,0.0009034583,-2.8170616e-05
3.052,0.00014964485,0.000595012,0.00020552886
3.076,-0.00041223358,6.7654924e-05,-0.0012796441
3.084,-0.0003057471,0.00036951722,-0.00072195556
3.092,0.00010724105,0.00021748187,0.00014386052
3.096,-0.00017475028,-0.00030507773,-0.00013196921
3.112,0.00017185484,0.00031656912,-0.0012386017
3.12,-0.0007471365,-0.0007030097,-0.0006836912
3.132,-0.00024394116,-0.0006216406,-0.00014939552
3.14,-0.0004288475,-0.0010007371,-0.0004846165
3.152,0.0005461087,0.0002112602,-0.00066066056
3.16,0.0009421474,-0.00015801858,-5.523693e-05
3.172,-0.00011501518,0.0002419095,-7.4520794e-05
3.18,-0.00040367828,0.00010477238,8.827748e-05
3.192,-0.0010055077,7.439693e-05,-7.7527424e-05
3.2,-0.0001241108,0.00021925227,-0.00047077052
3.212,-0.00053049176,-0.00013828592,-0.00079210685
3.22,-0.00044691167,-0.00033737728,-0.00058221235
3.232,2.365747e-05,-7.984624e-05,-0.000153245
3.24,0.0003774804,-0.00042489736,-0.00016584477
3.252,0.00025891355,0.0005089303,-0.00035998685
3.26,0.00031990476,-0.0002374581,-0.00058006844
3.272,0.0002329515,-0.0006941379,-0.00030496067
3.28,-9.780662e-06,-0.00011117538,-0.00048253714
3.292,0.0003954174,0.00044589728,-0.00031230692
3.3,0.0010012686,0.00030962648,0.00040755354
3.312,-0.00055002485,0.0004145166,7.694689e-05
3.32,0.0003586373,0.00040554075,0.00020925386
3.332,6.1159066e-05,7.907454e-05,-0.0009071388
3.34,0.00026455242,0.000157566,-0.00034993928
3.352,9.66099e-05,-1.182509e-05,-0.0005205701
3.36,-5.2212636e-05,0.0002498613,-0.00048294768
3.372,-0.00022412236,-0.00045877823,-0.00014620365
3.38,-2.2003514e-06,0.00067771535,-9.5922514e-05
3.392,-0.00035458087,0.0010440385,-0.00083571405
3.4,0.000529959,0.00037836778,-0.00076537754
3.412,0.0003688017,-2.4773224e-05,4.021221e-05
3.42,-9.05792e-06,0.00032326436,-0.0004106887
3.432,0.0003749876,-0.0004772541,-0.0010930544
3.44,-5.582052e-05,-0.00062462245,-0.00048131897
3.452,0.00017673383,3.658278e-05,0.00011717543
3.46,-0.00012431214,2.665547e-06,-0.00020876048
3.472,-0.00034807652,-0.00043252175,-0.0005816395
3.48,-0.000500725,-0.00017341375,0.00054307166
3.492,0.00041180447,-7.268053e-05,9.131126e-05
3.5,-0.00053171895,-1.7575148e-05,-0.0003850212
3.512,3.4729303e-05,-5.40108e-05,0.0001899139
3.52,0.00031450595,0.00047213477,-0.0006506487
3.532,-0.00010540112,-0.00015010024,-0.001759634
3.54,0.00010054271,-0.00014856708,-0.00025197398
3.552,0.00012295244,0.00082459766,-0.00014682674
3.56,-0.00072723,-7.68153e-05,-0.00072862644
3.572,0.00046685297,0.00040267824,-0.00024359596
3.58,-0.00071022514,0.00013484652,-0.00054132805
3.592,0.00013044113,0.00034400908,-0.0006973903
3.6,0.00030898495,0.00038747536,-0.00090180803
3.612,-0.0002525269,0.00041205346,-0.001003139
3.62,-0.000756487,0.00028130878,-0.0005703246
3.632,-4.359147e-05,0.00138758,-0.00073758664
3.64,-0.00047747366,-0.00030616266,-0.00053519907
3.652,-0.0005641001,4.424034e-05,-5.084151e-05
3.66,0.00042379985,-0.00019704076,-0.0005756212
3.672,0.00036947493,0.0003265974,-0.00018610149
3.68,0.00062903226,3.9209153e-05,0.00030312143
3.692,-0.00044664566,0.00082389364,-0.0018765631
