timestamp_s,roll_deg,pitch_deg,yaw_deg
3.088,-0.030352982,0.027521119,-0.0045602946
3.092,-0.030008905,0.027265487,-0.0050222855
3.092,-0.02950712,0.027021024,-0.005322983
3.1,-0.028830303,0.02671445,-0.0053490903
3.1,-0.02819068,0.026420226,-0.005444758
3.104,-0.02776406,0.026135633,-0.005599105
3.108,-0.027387727,0.02574453,-0.005772785
3.112,-0.026760664,0.025368743,-0.0058606155
3.116,-0.025936037,0.025133697,-0.0059058764
3.12,-0.025198584,0.024908297,-0.006257541
3.124,-0.024767067,0.024748454,-0.006699906
3.128,-0.024480438,0.02451449,-0.0069886004
3.132,-0.024198778,0.02396705,-0.007250864
3.136,-0.023908436,0.023635818,-0.0074007846
3.14,-0.02350331,0.0234797,-0.0075197387
3.144,-0.023093712,0.023112506,-0.0076262243
3.148,-0.0228724,0.022513358,-0.0078437645
3.152,-0.022556523,0.021980543,-0.008026792
3.156,-0.022198169,0.021776032,-0.00825623
3.16,-0.021783669,0.021689381,-0.008678555
3.164,-0.021231411,0.021482471,-0.008933374
3.168,-0.02068457,0.021176416,-0.008997016
3.172,-0.020039434,0.020947168,-0.009101055
3.176,-0.019472806,0.02067128,-0.0092838975
3.18,-0.019102301,0.020481821,-0.009424195
3.184,-0.018686634,0.020345204,-0.009550044
3.188,-0.018370146,0.020146146,-0.009609921
3.192,-0.018076599,0.01992381,-0.009655834
3.196,-0.017746339,0.01975524,-0.0098107485
3.2,-0.017577317,0.019584553,-0.009995915
3.204,-0.017565716,0.01938884,-0.0105110295
3.208,-0.017043889,0.01907739,-0.010901539
3.212,-0.016651206,0.018628685,-0.011158138
3.216,-0.016213812,0.018159643,-0.011410943
3.22,-0.015603713,0.017932802,-0.011723646
3.224,-0.014990137,0.017673003,-0.012005349
3.228,-0.014586657,0.017375786,-0.012179097
3.232,-0.014220483,0.017086547,-0.01216804
3.236,-0.013651386,0.016733712,-0.012320853
3.24,-0.013126534,0.016421169,-0.012601365
3.244,-0.012629779,0.016436614,-0.01275475
3.248,-0.01218639,0.016349537,-0.012724539
3.252,-0.011789657,0.01609679,-0.012715577
3.256,-0.011335935,0.01589469,-0.012813327
3.26,-0.010881306,0.015522464,-0.012773094
3.264,-0.010389819,0.014990982,-0.012714767
3.268,-0.00997551,0.01458898,-0.012759875
3.272,-0.009735198,0.0145344315,-0.012623591
