timestamp_s,x,y,z
2.956,-0.00018109966,-0.00026861642,0.00034214917
2.964,-0.00018885615,-0.00027961392,0.00035460546
2.972,-0.00019661177,-0.00029071455,0.00036960444
2.98,-0.00020443222,-0.00030182986,0.00038480537
2.988,-0.00021258231,-0.00031348076,0.00040029996
3.0,-0.00022082383,-0.00032554686,0.00041597933
3.008,-0.00022928965,-0.00033812266,0.00043201805
3.012,-0.00023814254,-0.00035082546,0.00044830982
3.024,-0.00024750736,-0.00036350344,0.00046498643
3.032,-0.0002569026,-0.00037653474,0.0004819233
3.04,-0.00026469846,-0.00038763112,0.0004992794
3.048,-0.00027313037,-0.0003988688,0.00051577267
3.056,-0.0002815762,-0.00041011485,0.0005313027
3.092,-0.00028987933,-0.0004214471,0.00054610515
3.1,-0.00029808504,-0.00043228903,0.00056005985
3.104,-0.00030591118,-0.0004426956,0.00057313644
3.112,-0.0003132182,-0.00045226925,0.0005854283
3.12,-0.00032038343,-0.00046134353,0.0005971165
3.128,-0.00032753384,-0.0004701675,0.0006079313
3.136,-0.00033475785,-0.00047853185,0.0006181591
3.144,-0.00034224402,-0.00048643615,0.00062767946
3.152,-0.00034994987,-0.00049411436,0.0006366539
3.16,-0.00035778314,-0.0005016741,0.00064484216
3.168,-0.00036544833,-0.0005089655,0.000652494
3.176,-0.00037272653,-0.00051582546,0.00065958325
3.184,-0.0003799677,-0.00052227714,0.00066634966
3.192,-0.00038713595,-0.00052832987,0.0006726989
3.2,-0.00039430842,-0.0005338019,0.0006782277
3.204,-0.00042125265,-0.0005602986,0.00070807134
3.212,-0.00042883537,-0.0005654321,0.0007120755
3.22,-0.0004364553,-0.000570275,0.0007150446
3.228,-0.00044376892,-0.00057487143,0.0007171694
3.236,-0.0004487708,-0.0005755705,0.00071441644
3.244,-0.00045398236,-0.00057625736,0.0007119756
3.252,-0.00045878408,-0.0005769798,0.0007093971
3.26,-0.00046354072,-0.0005774844,0.0007067033
3.268,-0.00046808686,-0.00057787675,0.00070368766
3.276,-0.00047220557,-0.0005778618,0.00070026016
3.284,-0.00047584524,-0.0005779129,0.0006963197
3.292,-0.00047932324,-0.00057764945,0.0006918575
3.3,-0.0004829209,-0.0005770329,0.00068698276
3.308,-0.00048653022,-0.0005756798,0.00068181584
3.316,-0.0004904371,-0.0005736775,0.0006761623
3.324,-0.00049461605,-0.0005715279,0.0006701
3.332,-0.00049878395,-0.0005689534,0.0006635728
3.34,-0.0005026853,-0.0005657459,0.00065701024
3.348,-0.0005064317,-0.0005618552,0.0006502537
3.356,-0.00050702324,-0.0005520925,0.00063754997
3.364,-0.00050835015,-0.0005426657,0.00062635966
3.372,-0.0005101247,-0.0005334397,0.00061589887
3.38,-0.0005126723,-0.0005243794,0.0006059563
3.388,-0.0005156476,-0.000515213,0.00059631834
3.396,-0.00051864376,-0.00050596724,0.0005872273
3.404,-0.0005218229,-0.0004967522,0.00057837187
3.412,-0.00052497804,-0.00048724754,0.00057005126
3.42,-0.0005280793,-0.00047721906,0.0005619988
