timestamp_s,roll_deg,pitch_deg,yaw_deg
3.928,-0.011897679,0.02003805,-0.002027931
3.94,-0.011802377,0.019375628,-0.0018621363
3.96,-0.01189867,0.01867562,-0.0015602583
3.96,-0.011896617,0.018281367,-0.0012775712
3.964,-0.0118077025,0.017876625,-0.0011532297
3.968,-0.011925032,0.01740757,-0.0011449895
3.972,-0.011911114,0.016843667,-0.00086526544
3.976,-0.011511261,0.016461203,-0.00071261224
3.98,-0.011326486,0.015982099,-0.00075044
3.984,-0.011332665,0.015497933,-0.00041709805
3.988,-0.011120086,0.015119197,-0.00018959443
3.992,-0.010879375,0.014755146,-0.00023338517
3.996,-0.010724977,0.014518135,-8.874412e-05
4.0,-0.010402822,0.014256215,2.9646264e-05
4.004,-0.010046154,0.01384167,8.064147e-05
4.008,-0.009705511,0.013369626,5.3752425e-05
4.012,-0.009528863,0.012873117,0.00010538378
4.016,-0.009681489,0.012426277,0.00053203857
4.02,-0.009786823,0.012114061,0.0008462457
4.024,-0.009808324,0.011877499,0.0010312209
4.028,-0.009765301,0.011722075,0.001389999
4.032,-0.00966691,0.011372813,0.0016106351
4.036,-0.009708612,0.010874758,0.0017410857
4.04,-0.009864877,0.010536805,0.002047546
4.044,-0.009859819,0.010308187,0.0022354848
4.048,-0.009798667,0.009976041,0.0023162193
4.052,-0.009712389,0.009435721,0.0026657144
4.056,-0.009416948,0.0089576915,0.0029403989
4.06,-0.009275738,0.008656604,0.002926878
4.064,-0.009113752,0.008490327,0.0032391117
4.068,-0.00878424,0.0083224,0.003641598
4.072,-0.008377573,0.007859627,0.0037260414
4.076,-0.008174695,0.0071983105,0.0038349414
4.08,-0.008267643,0.006610167,0.004045478
4.084,-0.008062447,0.0061946856,0.0039527877
4.088,-0.007964462,0.0057487376,0.003944463
4.092,-0.007969384,0.0049995338,0.004897611
4.096,-0.007893715,0.0044227755,0.0050755544
4.1,-0.0075887693,0.0040235682,0.0051934994
4.104,-0.0072907438,0.0036060608,0.005211772
4.108,-0.007310999,0.0030006825,0.0054428373
4.112,-0.0072679245,0.0025727449,0.0056062415
4.116,-0.006975572,0.0021018023,0.0057925684
4.12,-0.0068635615,0.0017091992,0.005994484
4.124,-0.0068741213,0.0013082948,0.0061490336
4.128,-0.0066298395,0.0009626606,0.0062855002
4.132,-0.0063166996,0.0007795401,0.0063235923
4.136,-0.0061963657,0.00081656844,0.006049328
4.14,-0.006216089,0.00085981603,0.005762516
4.144,-0.00616546,0.0007617494,0.005761164
4.148,-0.0060414416,0.00045623156,0.005796497
4.152,-0.006039067,0.00033665207,0.0057898383
4.156,-0.0060952217,0.0003209414,0.0058821086
4.16,-0.0061008013,4.092284e-05,0.006008098
4.164,-0.0061035627,-0.0004734748,0.0059088483
4.168,-0.006067564,-0.0009577546,0.005945159
4.172,-0.0061195693,-0.0013063098,0.0059938864
4.176,-0.006063171,-0.0015171716,0.0059710722
4.18,-0.005926291,-0.0015086863,0.0059553366
4.184,-0.0058773346,-0.001693164,0.0058267466
4.188,-0.0056912187,-0.002192954,0.0059844176
4.192,-0.0054783714,-0.0024771446,0.006184321
4.196,-0.0052279774,-0.0027717894,0.0061870166
4.2,-0.005028464,-0.0030891947,0.0061442466
4.204,-0.004787603,-0.0030603663,0.006137917
4.208,-0.0047161123,-0.00312253,0.0060888054
4.212,-0.0047902106,-0.0032300057,0.0059203543
4.216,-0.0048787226,-0.0032137341,0.0057468074
4.22,-0.004941652,-0.003215849,0.0058749877
4.224,-0.0048164385,-0.0032431078,0.0061687357
4.228,-0.0046974057,-0.00337998,0.0062204544
4.232,-0.004553145,-0.0033445822,0.006264415
4.236,-0.0044978308,-0.0031931363,0.0064118947
4.24,-0.0046059624,-0.0032264916,0.006473532
4.244,-0.004458541,-0.0034100348,0.006498933
4.248,-0.0042188764,-0.0036007613,0.00641959
4.252,-0.0041820905,-0.003824533,0.006388947
4.256,-0.0040539918,-0.0038243926,0.00645288
4.26,-0.0037743296,-0.0037552093,0.00646577
4.264,-0.003590306,-0.0038149569,0.006396391
4.268,-0.0036050687,-0.0038300338,0.00630945
4.272,-0.003572993,-0.003771239,0.006192893
4.276,-0.0035616462,-0.0038286739,0.0061682966
4.28,-0.00353373,-0.0037711384,0.0062486674
4.284,-0.0032989809,-0.0035554613,0.0061660088
4.288,-0.003189456,-0.003664242,0.005996627
4.292,-0.0030058632,-0.0037017334,0.005904023
4.296,-0.0027070036,-0.0035178792,0.005930519
4.3,-0.0024327748,-0.003372773,0.0058915834
4.304,-0.0021533025,-0.0032518418,0.005936673
4.308,-0.0020216098,-0.003269469,0.006004927
4.312,-0.0020901246,-0.0035313165,0.005800564
4.316,-0.0021564355,-0.003608454,0.005590206
4.32,-0.0021334311,-0.003532399,0.005363046
4.324,-0.0021849899,-0.003432094,0.005124651
4.328,-0.0021651883,-0.003391386,0.004673603
4.332,-0.0021787414,-0.0034132067,0.0043688715
4.336,-0.002284953,-0.0035200443,0.004507169
4.34,-0.0023487175,-0.003838294,0.004631953
4.344,-0.002338386,-0.0038458332,0.0047080186
4.348,-0.0024164768,-0.0036787975,0.00459886
4.352,-0.0025377236,-0.0036439728,0.004428411
4.356,-0.0023374453,-0.0037317565,0.004428403
4.36,-0.0022651702,-0.0038321554,0.004352755
4.364,-0.0023096353,-0.0038419967,0.0043039545
4.368,-0.002300024,-0.0039226827,0.0043613934
4.372,-0.002301656,-0.0040162364,0.004379275
4.376,-0.002222479,-0.0039220997,0.0042658485
4.38,-0.0022411526,-0.003781495,0.004081498
4.384,-0.0023147245,-0.0038213586,0.0038302126
4.388,-0.0023121727,-0.0040629837,0.0037729398
4.392,-0.0023461427,-0.0041680024,0.004017897
4.396,-0.0022565147,-0.004109635,0.0039989427
4.4,-0.0020184189,-0.004120227,0.003505
4.404,-0.0021502653,-0.0041889977,0.003109263
4.408,-0.0022320005,-0.0043431013,0.003054691
4.412,-0.0019899923,-0.0045590657,0.0030520475
4.416,-0.0019567078,-0.0048551443,0.003070989
4.42,-0.0020531868,-0.0052533858,0.0030243234
4.424,-0.0019405459,-0.0054228264,0.0030132532
4.428,-0.0017967343,-0.0054570623,0.00296973
4.432,-0.0017641778,-0.005563644,0.0026814828
4.436,-0.0016759374,-0.0055421623,0.0023991026
4.44,-0.0015729448,-0.0054859407,0.0022068904
4.444,-0.0014080446,-0.005447965,0.001980917
4.448,-0.0014157569,-0.005481983,0.0018368133
4.452,-0.0017193859,-0.005408372,0.0017048763
