t,x,y,z,roll,pitch,yaw
0.1,2.3631701285884984e-09,3.4025029834057246e-15,0.23843730581242376,1.0429071046968546e-10,-7.242703109482142e-05,-4.8554145543775295e-17
0.2,3.182410648604983e-08,2.740528521226707e-13,0.23302528077848242,8.415219765677016e-09,-0.0009796862768924107,-5.296367773305423e-14
0.30000000000000004,8.76991562237284e-08,-1.3040380224329018e-09,0.22596885406677938,-4.000388482100993e-05,-0.0027319728419690375,-3.077500324390436e-05
0.4,8.769521407041425e-08,-1.30307305973208e-09,0.22598885043155437,-4.000412841409787e-05,-0.0027319738393086026,-3.077503383392717e-05
0.5,8.769100870887376e-08,-1.302299191074568e-09,0.2260088467981452,-4.0004323777037826e-05,-0.002731974903064862,-3.077500097355056e-05
0.6,8.768612692202051e-08,-1.3021239865707193e-09,0.226028843165404,-4.000436803342148e-05,-0.0027319761375406743,-3.077498939093061e-05
0.7,8.768129283073338e-08,-1.301904056716839e-09,0.22604883953270902,-4.000442357673117e-05,-0.0027319773599767403,-3.077502476537932e-05
0.7999999999999999,8.767670557552571e-08,-1.301461647413224e-09,0.22606883589983962,-4.000453527703329e-05,-0.0027319785201137103,-3.0775009965651245e-05
0.8999999999999999,8.767185084943295e-08,-1.3012587944912153e-09,0.22608883226692245,-4.000458651045454e-05,-0.0027319797477615873,-3.0775033265186845e-05
0.9999999999999999,8.766765992490677e-08,-1.300458925525125e-09,0.22610882863371437,-4.0004788435353346e-05,-0.0027319808078677013,-3.0775021391199693e-05
1.0999999999999999,8.76645216730306e-08,-1.2977149954778892e-09,0.22612882500128925,-4.000548105048207e-05,-0.0027319816022588605,-3.07750141327992e-05
1.2,8.766208711874798e-08,-1.2906583235636152e-09,0.22614882137607845,-4.000726221726905e-05,-0.0027319822188911417,-3.077501434417798e-05
1.3,8.766208511344104e-08,-1.28396981129804e-09,0.22616881777455172,-4.0008950450859537e-05,-0.0027319822210679122,-3.077501437591192e-05
1.4000000000000001,8.766681530862101e-08,-1.280393207078174e-09,0.22618881420186723,-4.000985321589086e-05,-0.002731981028244173,-3.0775048737337194e-05
1.5000000000000002,8.768052381888711e-08,-1.2805028962514794e-09,0.22620881066739615,-4.000982553550283e-05,-0.0027319775684942365,-3.0775063269132666e-05
1.6000000000000003,8.770223011792231e-08,-1.2851172104182934e-09,0.22622880718081895,-4.000866085698416e-05,-0.0027319720891163307,-3.0775048661518536e-05
1.7000000000000004,8.773100685057691e-08,-1.2940827136280657e-09,0.22624880375400067,-4.000639790271694e-05,-0.0027319648239450306,-3.077504853388727e-05
1.8000000000000005,8.776907239071494e-08,-1.3074446351100997e-09,0.22626880039220784,-4.000302525609854e-05,-0.002731955212954151,-3.077505281531955e-05
1.9000000000000006,8.781809831285993e-08,-1.323201933322848e-09,0.2262887971046284,-3.999904798658183e-05,-0.002731942834048898,-3.077505895866791e-05
2.0000000000000004,8.788105885364772e-08,-1.3457517763727823e-09,0.22630879391035671,-3.999335622090397e-05,-0.0027319269361320074,-3.077508777607095e-05
2.1000000000000005,8.796201134864769e-08,-1.3778560413248695e-09,0.226328790829624,-3.9985252845270645e-05,-0.002731906494697924,-3.077517090005173e-05
2.2000000000000006,8.806270241283548e-08,-1.419184239868493e-09,0.22634878787792406,-3.9974821276531246e-05,-0.0027318810685970914,-3.077522741755005e-05
2.3000000000000007,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.400000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.500000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.600000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.700000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.800000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
2.9000000000000012,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.0000000000000013,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.1000000000000014,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.2000000000000015,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.3000000000000016,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.4000000000000017,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.5000000000000018,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.600000000000002,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.700000000000002,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.800000000000002,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
3.900000000000002,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
4.000000000000002,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
4.100000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
4.200000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
4.300000000000001,1.0893555176480016e-05,-1.6077597043749986e-07,0.2269991797376578,2.460582757410374e-07,-4.527302799199878e-06,-3.078023432543848e-05
4.4,2.2154539663022666e-05,-8.56196413470568e-07,0.2270065762011543,7.918623631961818e-05,0.0029454982577225043,0.00014463322849084538
4.5,-11.167663556847906,41.235008008551354,2.017920442417311,61.843274403187344,-6.8655208372288845,-168.7044429322937
4.6,-11.057864803530926,41.54575178353106,1.934671147906626,84.80520807389195,-2.9898724706863424,-179.2740223671641
4.699999999999999,-10.948514066693587,41.86087631359345,1.8481715306531625,105.66301703980659,4.684300662199619,170.38560984075374
4.799999999999999,-10.838598950776834,42.18025830024488,1.756512565539745,123.84441706857201,16.15270171638536,161.27297693937177
4.899999999999999,-10.72688665135732,42.50279442185982,1.6582646097622997,139.51439377604987,30.952461492079067,153.9933928013091
4.999999999999998,-10.612275794968626,42.82668999443695,1.5528815920480414,153.67457647574344,48.442851591672174,149.22118497345932
5.099999999999998,-10.49407867685021,43.14998130294433,1.440788350795349,170.3430062934868,67.86536390874673,150.21797492481167
5.1999999999999975,-10.372183522700437,43.471022535971045,1.3231948479357996,-106.08741261502925,84.20648107927431,-139.3688916038498
5.299999999999997,-10.247000301722846,43.78880658527311,1.2017196503342662,-25.078437286721563,66.45505183797155,-69.78353938246552
5.399999999999997,-10.119335853945586,44.10307999354793,1.0780180085439504,-12.633108779142937,43.239285429104,-67.72858922637526
5.4999999999999964,-9.990195662542861,44.4142831456846,0.9535160945199536,-5.39395294577306,19.306783474650363,-70.7657055098516
5.599999999999996,-9.860640533128668,44.723449927332084,0.8292132091813189,0.7729575256401714,-4.794493295501431,-76.09192273229074
5.699999999999996,-9.731637926359081,45.03208040239676,0.7055301142572485,8.075485703956016,-28.484429501749275,-84.48043890231455
5.799999999999995,-9.603883490631311,45.341902667698875,0.5821177766923553,21.03848741915715,-50.66912560972693,-100.13734448394796
5.899999999999995,-9.477610686485328,45.65452064738324,0.45784783809693624,55.492275635231664,-66.77439571239503,-138.87345037419342
5.999999999999995,-9.352497580205624,45.97104532114745,0.33104640842620175,110.1857244878028,-63.24904674102236,160.24898662219374
6.099999999999994,-9.225934878881585,46.28517060148512,0.29492550413700935,-151.1642189871773,-48.07735142170192,81.66969153194982
6.199999999999994,-9.122512159155987,46.60171005557667,0.3861787697809964,-123.26871412737849,-13.962461512459075,71.49233968548478
6.299999999999994,-9.0371669551584,46.920246684676236,0.5447811328935465,-115.04910638917028,16.576684902574744,75.63977286960323
6.399999999999993,-8.955513245251447,47.2381511562989,0.6972001905237314,-96.17251783859766,44.16630616174695,84.6137258797806
6.499999999999993,-8.878039761533014,47.55495037674992,0.8450231651137877,-55.732535289910494,65.87874315997493,110.69572111984276
6.5999999999999925,-29.235265862315558,104.81793045416133,0.060278499073769094,179.951348300518,-0.027602431554036837,-101.05218451872302
6.699999999999992,-29.287481977652558,104.82165642610163,0.06039346242847102,179.94313339438133,-0.01705372671431301,-85.14944389705076
6.799999999999992,-29.34319882568363,104.82430605665772,0.0604399598662091,-179.8731003039187,0.05051286324998983,-70.88250829998461
6.8999999999999915,-29.393293555521836,104.83097725016393,0.06039519709883761,-179.98647407610397,-1.1504218380533314e-05,-58.696458702352984
6.999999999999991,-29.43917417270263,104.8399236625059,0.06040802477389006,-179.98763967793252,0.0006334687250405603,-47.899567706048444
7.099999999999991,-29.482181230722354,104.85263074385377,0.06034922613230196,179.93200549951595,0.01605795240349119,-38.590894473891254
7.19999999999999,-29.528081522267474,104.86375744908331,0.06036135875755122,179.98743156396068,-0.004673677172611192,-29.854519570787915
7.29999999999999,-29.574900032644837,104.87084541030958,0.060390888652179224,179.98586278397445,-0.0004505486896738995,-19.475268591356443
7.39999999999999,-29.623941756496937,104.87249686889784,0.06041223775692559,179.99406654280105,7.767934656260984e-05,-8.128319422110465
