timestamp_s,roll_deg,pitch_deg,yaw_deg
3.936,0.010919718,-0.004018094,0.009175635
3.94,0.010594164,-0.0038057864,0.009134387
3.948,0.010394006,-0.0035965,0.00914839
3.952,0.0101765515,-0.0035442046,0.009145185
3.952,0.009961799,-0.0035171937,0.00923018
3.96,0.009780314,-0.0037002743,0.009507497
3.96,0.009336675,-0.003841817,0.009745094
3.964,0.008996007,-0.0036507072,0.009847858
3.968,0.009037176,-0.0035080914,0.009698061
3.972,0.0089475475,-0.0033784085,0.009459046
3.976,0.008708063,-0.0032695055,0.009234488
3.98,0.008563963,-0.0031500654,0.008965795
3.984,0.008517106,-0.002994352,0.008732852
3.988,0.008263297,-0.0029220465,0.008640384
3.992,0.007998683,-0.0025727926,0.008766807
3.996,0.008148784,-0.0022463608,0.0088415
4.0,0.0083056595,-0.0022161582,0.008948305
4.004,0.008161965,-0.0020631307,0.008847472
4.008,0.0080054235,-0.0017921665,0.008526437
4.012,0.007883251,-0.0016529228,0.008462418
4.016,0.00784756,-0.001578597,0.008489586
4.02,0.0077782194,-0.001304425,0.008482279
4.024,0.0075415755,-0.0012071938,0.008324595
4.028,0.0073109143,-0.0012756648,0.008059572
4.032,0.0070331628,-0.0013441049,0.007821582
4.036,0.006863017,-0.0014743289,0.0076965163
4.04,0.0065954505,-0.0014329979,0.0076897237
4.044,0.006231165,-0.00121538,0.0076618767
4.048,0.006174558,-0.00093476096,0.007598534
4.052,0.0062694116,-0.00083492626,0.007525815
4.056,0.0062810704,-0.0008917528,0.007474994
4.06,0.0059919367,-0.00083729,0.0074841827
4.064,0.005655154,-0.0006186567,0.0077132275
4.068,0.005563229,-0.00062367413,0.008052591
4.072,0.0054470696,-0.0008873582,0.007971824
4.076,0.005368949,-0.0010156366,0.00761126
4.08,0.005373391,-0.0009808504,0.0073020603
4.084,0.005013625,-0.0009063896,0.007071967
4.088,0.0046400735,-0.00067114795,0.00692908
4.092,0.004637407,-0.00045748986,0.006717484
4.096,0.004468438,-0.00040252926,0.0067974734
4.1,0.0040810728,-0.0002710226,0.0069699828
4.104,0.0038359256,-0.00015320521,0.007063786
4.108,0.0036320842,-0.0002945062,0.0070790364
4.112,0.0035858476,-0.00032231706,0.0069690123
4.116,0.003788351,-7.5901607e-06,0.0067582205
4.12,0.0038671268,0.0002579296,0.0066865985
4.124,0.0037476737,0.0004302391,0.00676132
4.128,0.0036257037,0.0006196557,0.0066911033
4.132,0.0035251724,0.00065871794,0.0066267294
4.136,0.0033697546,0.00064248807,0.0064826976
4.14,0.0031261442,0.00075539295,0.0064256634
4.144,0.0028705455,0.0007939721,0.0063426653
4.148,0.0025881801,0.00082163315,0.006184382
4.152,0.0023546005,0.00096070475,0.0061558494
4.156,0.002289144,0.0010595585,0.0062433197
4.16,0.0023090662,0.0011934891,0.0063103773
4.164,0.0023225413,0.0014736062,0.0064185546
4.168,0.0023212368,0.0017488777,0.0066253855
4.172,0.0023328483,0.0020762994,0.006606138
4.176,0.00246515,0.0023127533,0.006580052
4.18,0.0025838108,0.002404965,0.0065621184
4.184,0.0023971654,0.0025047227,0.0065440997
4.188,0.0020424214,0.0025572195,0.006590013
4.192,0.001959667,0.0026079572,0.006636006
4.196,0.0020850704,0.0026937842,0.006621705
4.2,0.0021472746,0.003013427,0.006515253
4.204,0.0021675339,0.0033978168,0.0065472648
4.208,0.002241537,0.0034492353,0.0068551567
4.212,0.002352716,0.0035136857,0.0070831194
4.216,0.0023204002,0.0034984278,0.007004507
4.22,0.0022277706,0.0034256175,0.0069289384
4.224,0.002153325,0.0035317028,0.006802325
4.228,0.0019738623,0.0036136927,0.0065903943
4.232,0.001885505,0.0040071495,0.0064953277
4.236,0.0018074202,0.0044719204,0.006601095
4.24,0.0016002939,0.0047347974,0.0069264593
4.244,0.0015587221,0.004853788,0.007121654
4.248,0.0018956094,0.0048824544,0.0071469806
4.252,0.0021931499,0.0052024396,0.0071260114
4.256,0.002143446,0.0055884244,0.00702151
4.26,0.0019776851,0.0058357124,0.0070459084
4.264,0.0019317596,0.0059109875,0.0071733934
4.268,0.0020762323,0.006037178,0.0071836426
4.272,0.002276101,0.0061929934,0.0070945295
4.276,0.0023302808,0.0060124127,0.0072495476
4.28,0.0022937965,0.005969915,0.007494108
4.284,0.0022742655,0.006020743,0.0074551953
4.288,0.0024495162,0.0060448633,0.007376629
4.292,0.002652585,0.006220766,0.0075351805
4.296,0.0028298143,0.0063054,0.00757263
4.3,0.0030363032,0.0063507706,0.0074518993
4.304,0.0031938,0.0062837745,0.007595149
4.308,0.0032054319,0.006240444,0.0078028054
4.312,0.0031443636,0.0063886475,0.008041716
4.316,0.0031690276,0.00642605,0.008131279
4.32,0.0030093838,0.0064967624,0.008096176
4.324,0.0029902966,0.00660211,0.008248142
4.328,0.003161582,0.006727173,0.008519768
4.332,0.0033350957,0.006779475,0.008717405
4.336,0.003571829,0.0067750067,0.008740936
4.34,0.003695359,0.0069672535,0.008642293
4.344,0.0038175774,0.0072487737,0.008612235
4.348,0.0039675506,0.007478219,0.008623864
4.352,0.004132668,0.0077793556,0.008721331
4.356,0.0041638394,0.008191209,0.0088566
