target_speed,mean_speed,mean_rpm,kf_est,kf_true,kf_error_pct,horizontal_accel
5,5.124131,338.47460401267165,4.7097223865831586e-05,3.746875e-05,25.697344762853273,0.03908444
10,9.83916,341.03422091782267,4.639467183730021e-05,3.746875e-05,23.82231015793218,0.07603041
15,14.644282,343.19411953041634,4.581311286650342e-05,3.746875e-05,22.270192804679688,0.06715523
25,24.149796,348.84686096256684,4.433918941363797e-05,3.746875e-05,18.336452146489997,0.045615453
40,47.25567,369.2800721649489,3.957075280562567e-05,3.746875e-05,5.6100158281919565,0.0672944
50,48.056377,356.3534019501628,4.2492381772195975e-05,3.746875e-05,13.407524329463822,0.13204059
70,64.78942,373.9830179445356,3.863992181673718e-05,3.746875e-05,3.1257296193152464,0.20256832
85,66.23119,346.0436178107611,4.510612263678821e-05,3.746875e-05,20.383313125706646,0.3244645
97,77.88531,374.6016541353396,3.8655434373284515e-05,3.746875e-05,3.167130937873604,0.44448406
