timestamp_s,roll_deg,pitch_deg,yaw_deg
5.736,-0.02472438,0.023480086,0.0016955442
5.74,-0.024628876,0.023206605,0.0015022436
5.744,-0.024488827,0.02282338,0.0014098382
5.748,-0.02440457,0.022664726,0.0015455711
5.752,-0.024222463,0.022561787,0.0015137932
5.756,-0.024082435,0.022363003,0.0015145506
5.76,-0.02401514,0.022028228,0.001530271
5.764,-0.023818277,0.021699954,0.0015320354
5.768,-0.023670929,0.021615941,0.001579447
5.772,-0.02360694,0.021562522,0.0016094258
5.776,-0.023451444,0.02136703,0.0018141347
5.78,-0.023373768,0.021139292,0.0019245966
5.784,-0.023265455,0.020861449,0.0018485017
5.788,-0.022950677,0.020750523,0.001603424
5.792,-0.022703582,0.020610796,0.0015336057
5.796,-0.022609409,0.020446377,0.0016275208
5.8,-0.02252269,0.020495838,0.0016875915
5.804,-0.022435557,0.020631796,0.0019718711
5.808,-0.022281617,0.020684319,0.0022724743
5.812,-0.021975216,0.020666033,0.0024099492
5.816,-0.02183148,0.020624429,0.0024967897
5.82,-0.021916071,0.020589916,0.0025546402
5.824,-0.021862192,0.020537604,0.0026776495
5.828,-0.02181496,0.020474242,0.0027810398
5.832,-0.021818852,0.020663738,0.0027655645
5.836,-0.021572242,0.020625196,0.002571078
5.84,-0.021368304,0.020338759,0.0026505531
5.844,-0.021125648,0.020173177,0.002796302
5.848,-0.020838555,0.020081611,0.002590393
5.852,-0.020682251,0.019983903,0.0026783037
5.856,-0.020527417,0.019803056,0.0028960628
5.86,-0.020471474,0.019664353,0.0028686705
5.864,-0.02037773,0.01943041,0.0028944097
5.868,-0.02017355,0.019215362,0.0029441146
5.872,-0.019981887,0.019124717,0.002797744
5.876,-0.019717002,0.018894706,0.002495501
5.88,-0.019573461,0.018664563,0.0023915723
5.884,-0.019457666,0.018629344,0.0025397786
5.888,-0.01925911,0.018560648,0.0027649673
5.892,-0.019131638,0.018408325,0.002888673
5.896,-0.018937629,0.018253116,0.0028026942
5.9,-0.018821737,0.017965088,0.0026400508
5.904,-0.01884375,0.01766715,0.002467907
5.908,-0.018780364,0.01753405,0.0021810166
5.912,-0.018746627,0.01753443,0.0019197883
5.916,-0.018676655,0.017512482,0.0019365355
5.92,-0.018502444,0.017283874,0.0020630893
5.924,-0.018448502,0.017046891,0.00223167
5.928,-0.018540213,0.017009374,0.0021788538
5.932,-0.018425852,0.016862245,0.0019320034
5.936,-0.018131532,0.0167382,0.0018180077
5.94,-0.018120445,0.016515374,0.0015747944
5.944,-0.018214613,0.016177405,0.0014046167
5.948,-0.01815517,0.015894977,0.0014130143
5.952,-0.017902061,0.015612237,0.0013215016
5.956,-0.017599795,0.01536955,0.0013381956
5.96,-0.017442107,0.015343919,0.0012764286
5.964,-0.017254606,0.0153634595,0.0010401778
5.968,-0.017241638,0.015170618,0.000899361
5.972,-0.017306043,0.01519692,0.00079524633
5.98,-0.017242577,0.015150719,0.000581887
5.98,-0.017107718,0.014832941,0.0003827269
5.984,-0.01699243,0.014694826,0.000365931
