timestamp_s,vx,vy,vz
5.376,-1.7592874e-06,-1.3889187e-06,-1.5603897e-05
5.38,-1.6280112e-05,7.859069e-06,2.5517185e-05
5.388,-2.478928e-05,3.639731e-06,3.2512697e-05
5.396,-4.841366e-05,-5.1495696e-05,8.063259e-05
5.404,-0.00011236758,-0.00010925561,0.00019213842
5.412,-9.690729e-05,-0.00018090672,0.0002806475
5.42,-8.835517e-05,-0.00022989787,0.0003070688
5.428,-0.00013563842,-0.000248927,0.00037043038
5.436,-0.0001987902,-0.0002857304,0.0004608039
5.444,-0.00020665943,-0.00025147703,0.00048401052
5.452,-0.00023855011,-0.00030526056,0.0005489013
5.46,-0.0002426165,-0.0003707818,0.0006127694
5.468,-0.00026630118,-0.00038404914,0.0006878966
5.476,-0.0003356621,-0.00040368224,0.0007627582
5.484,-0.0003636069,-0.00044695553,0.00084701896
5.492,-0.00042401114,-0.0005247092,0.0009072372
5.5,-0.00047154273,-0.0006066982,0.00096765516
5.508,-4.7513468e-06,5.0064766e-05,0.001002087
5.516,-0.00010821466,4.4059845e-05,0.0010309208
5.524,-0.00016981139,-1.612998e-05,0.0011304229
5.532,-0.00017308802,-2.471363e-05,0.0011735912
5.54,-0.00023910543,-9.4198396e-05,0.0012522901
5.548,-0.00024846365,-0.00016056743,0.0012752392
5.556,-0.00028052725,-0.00020208665,0.0013517726
5.564,-0.00033837688,-0.00026426165,0.0014313022
5.572,-0.00039546064,-0.00033110194,0.0014388759
5.58,-0.0004492679,-0.000368402,0.001476974
5.588,-0.00045951185,-0.00043195192,0.0015246614
5.596,-0.00043854953,-0.00054249295,0.0015376168
5.604,-0.00041560485,-0.0005979522,0.0016361941
5.612,-0.00047101852,-0.0006122618,0.0016733464
5.62,-0.0004903625,-0.0006417473,0.0017223707
5.628,-0.00055983907,-0.0006763781,0.0017578283
5.636,-0.0006105619,-0.0007342802,0.0018279523
5.644,-0.0005979345,-0.00076311285,0.0018897884
5.652,-0.00062834466,-0.0008455047,0.001944996
5.66,-0.00061302265,-0.00087670115,0.0019808332
5.668,-0.0006666401,-0.00090952375,0.0020875284
5.676,-0.00070351746,-0.0009568908,0.0021495698
5.684,-0.00076408545,-0.0010424929,0.0022150092
5.692,-0.0008370991,-0.0010778401,0.002267803
5.7,-0.0008850354,-0.0011047241,0.0023143245
5.708,-0.000897852,-0.0011365701,0.0023460852
5.716,-0.00093918486,-0.0012338453,0.0024280415
5.724,-0.00094931736,-0.0012727954,0.0024325517
5.732,-0.0009736424,-0.0012530885,0.0023765774
5.74,-0.0009977344,-0.0012555388,0.00230282
5.748,-0.0010456826,-0.0012122268,0.0023197953
5.756,-0.0010500537,-0.0012620576,0.0022933243
5.764,-0.0010633072,-0.0013062888,0.0022244886
5.772,-0.0010588989,-0.0013657714,0.002173241
5.78,-0.0010512155,-0.0013793944,0.0021499647
5.788,-0.0010276875,-0.0013933316,0.0021082137
5.796,-0.0010899758,-0.0014189488,0.0020657037
5.804,-0.0010975229,-0.001413345,0.002120034
5.812,-0.0011338277,-0.0014465293,0.002053422
5.82,-0.0011216372,-0.0014591116,0.0019680073
5.828,-0.001128777,-0.001439495,0.0019591248
5.836,-0.0011132868,-0.001372642,0.0019581509
5.844,-0.0011356516,-0.0013711774,0.0019068371
5.852,-0.0011860356,-0.0013641604,0.0018544772
5.86,-0.0012274636,-0.0013183013,0.001813555
5.868,-0.0012266971,-0.0013442714,0.0018141365
5.876,-0.0012087108,-0.0013630821,0.0017587645
5.884,-0.0011671754,-0.0013796762,0.0017968894
5.892,-0.0011776859,-0.0014148718,0.0017907739
5.9,-0.0011736101,-0.0013846126,0.0017620389
5.908,-0.0011547261,-0.0014008166,0.0017397937
5.916,-0.0011571612,-0.0013994545,0.0016774175
5.924,-0.0011769538,-0.0014271569,0.001679169
5.932,-0.001145183,-0.0014329461,0.0016489201
5.94,-0.0011523144,-0.0014522731,0.0016919087
5.948,-0.0010993326,-0.0014598747,0.0016704267
5.956,-0.0011179809,-0.0014911186,0.0016816584
5.964,-0.0010999499,-0.0014602268,0.0017190431
5.972,-0.0010917045,-0.0014780643,0.0017383102
5.98,-0.0011084982,-0.0015119204,0.0017045105
5.988,-0.0010875743,-0.0015450888,0.0016832713
5.996,-0.0010754402,-0.0016367988,0.0016285947
6.004,-0.0010899322,-0.0016254946,0.0016448484
6.012,-0.0010625218,-0.0016114054,0.0015775975
6.02,-0.001059121,-0.0016492504,0.0015883085
6.028,-0.0010426925,-0.0017048651,0.001545377
6.036,-0.0010125968,-0.0016672886,0.0015372403
6.044,-0.0010349827,-0.0016538042,0.0015207367
6.052,-0.0010668212,-0.0016561598,0.001535206
6.06,-0.0010112402,-0.0016775259,0.0015242257
6.068,-0.0010098806,-0.0017171819,0.0015492275
6.076,-0.0010277163,-0.0016871014,0.0015831679
6.084,-0.0010581698,-0.0016493005,0.0015916728
6.092,-0.0010248955,-0.0016214,0.0014953386
6.1,-0.0009630307,-0.0016187337,0.0014556452
6.108,-0.0009349404,-0.0016368887,0.0014033474
6.116,-0.0009107897,-0.0016625633,0.0014084115
6.124,-0.00093581306,-0.0016622962,0.0013496968
6.132,-0.0009942973,-0.0016769053,0.0013651554
6.14,-0.0010641132,-0.0016686997,0.0013452969
6.148,-0.0010437,-0.0016863421,0.0013624596
6.156,-0.0009824458,-0.0017216871,0.0013499014
6.164,-0.000957951,-0.0017389765,0.0013506715
6.172,-0.00090305763,-0.0016806964,0.0013147729
6.18,-0.0008731446,-0.0017103481,0.0012512994
6.188,-0.0008195593,-0.0017070881,0.0012696049
6.196,-0.0007964901,-0.0017176381,0.001302695
6.204,-0.00079264725,-0.0016810704,0.001324029
6.212,-0.0008833148,-0.0017147353,0.0012789815
6.22,-0.00087573135,-0.0017618305,0.0012878446
6.228,-0.0008924864,-0.0017713244,0.001249942
6.236,-0.0008599167,-0.0017393753,0.0012568703
6.244,-0.0008644783,-0.0017283539,0.0012556264
6.252,-0.0008157015,-0.0016787746,0.0012689272
6.26,-0.0007461943,-0.0016228553,0.0012455465
6.268,-0.00071001454,-0.0015484362,0.0012828383
6.276,-0.0007076606,-0.0015159337,0.0012879918
6.284,-0.000691442,-0.0015182302,0.0012712155
6.292,-0.0006948429,-0.0015488211,0.0012041618
6.3,-0.0007231294,-0.0015436973,0.0011829622
6.308,-0.0006908718,-0.0015750428,0.0011648895
6.316,-0.00070362276,-0.0015801974,0.0011616808
6.324,-0.0007059547,-0.0015483568,0.0011632653
6.332,-0.0006784102,-0.0015626692,0.0011693588
6.34,-0.000672042,-0.0015481047,0.0011939397
6.348,-0.00072533684,-0.0015446176,0.0011861201
6.356,-0.0007500986,-0.0015846469,0.0011718331
6.364,-0.0007717082,-0.0015864104,0.0011082441
6.372,-0.0007985058,-0.0015424546,0.001094415
6.38,-0.0007726373,-0.0014922147,0.0011538746
6.388,-0.0007759221,-0.0014497577,0.0011489284
6.396,-0.0008001438,-0.0014534416,0.0012118208
6.404,-0.0008187159,-0.0014858006,0.0012514499
6.412,-0.00081025815,-0.0014642976,0.0012492888
6.42,-0.00078457117,-0.0014602896,0.0011950952
6.428,-0.00076479546,-0.0014160507,0.0012004419
6.436,-0.0007444555,-0.0013239492,0.0011527548
6.444,-0.0007361296,-0.0012493513,0.0011062727
6.452,-0.00072447094,-0.0012349037,0.0011281295
6.46,-0.0006925567,-0.0012259523,0.0011448269
6.468,-0.0006341724,-0.0011896762,0.0011441326
6.476,-0.00065524725,-0.0012036824,0.0011346596
6.484,-0.00068424444,-0.0012170402,0.0011302879
6.492,-0.00068997877,-0.0011928186,0.001125793
6.5,-0.00071098504,-0.0012314208,0.0011187862
6.508,-0.0007287875,-0.0012018017,0.0011285488
6.516,-0.00074216357,-0.0011376758,0.0011036769
6.524,-0.0007799188,-0.0010782538,0.0011310128
6.532,-0.0008012332,-0.0010458654,0.0010861829
6.54,-0.0007927418,-0.001069623,0.0010667251
6.548,-0.00079399865,-0.0010691123,0.0010223918
6.556,-0.00079811836,-0.0010376818,0.0010400709
6.564,-0.0007887387,-0.0010387015,0.001041114
6.572,-0.00081087335,-0.0009914994,0.0010213461
6.58,-0.00084857416,-0.0010496225,0.0010814007
6.588,-0.0007785054,-0.0010848572,0.0011048514
6.596,-0.00074759044,-0.001024768,0.0010812695
6.604,-0.0007348839,-0.0010352377,0.0010669276
6.612,-0.00069449254,-0.0010686505,0.001034336
6.62,-0.0006812739,-0.0010482507,0.0009902645
6.628,-0.0006820584,-0.0009822699,0.0010509366
