timestamp_s,x,y,z
5.376,-7.1474107e-09,-5.604948e-09,6.502867e-08
5.38,-6.101733e-08,-7.621729e-09,8.6547644e-08
5.388,-2.50557e-07,8.8659434e-08,4.1236956e-07
5.396,-5.450913e-07,-1.7987125e-07,8.272009e-07
5.404,-1.2551877e-06,-8.435142e-07,2.0023122e-06
5.412,-2.1915896e-06,-2.0841226e-06,4.015959e-06
5.42,-2.9808973e-06,-3.9346746e-06,6.647825e-06
5.428,-3.9811694e-06,-6.0423135e-06,9.594939e-06
5.436,-5.5178903e-06,-8.474044e-06,1.3294057e-05
5.444,-7.385201e-06,-1.097524e-05,1.7567383e-05
5.452,-9.4465595e-06,-1.3550329e-05,2.2323604e-05
5.46,-1.1685684e-05,-1.6854096e-05,2.7693743e-05
5.468,-1.4135022e-05,-2.045397e-05,3.3724635e-05
5.476,-1.7002065e-05,-2.431153e-05,4.0546947e-05
5.484,-2.0278194e-05,-2.8450539e-05,4.802327e-05
5.492,-2.3970288e-05,-3.3229524e-05,5.6358287e-05
5.5,-2.8228089e-05,-3.8781884e-05,6.525003e-05
5.508,-3.5475983e-05,-4.9142905e-05,7.473168e-05
5.516,-3.653092e-05,-4.9718896e-05,8.030818e-05
5.524,-3.817015e-05,-5.0509585e-05,8.652023e-05
5.532,-4.0083298e-05,-5.1542767e-05,9.3378396e-05
5.54,-4.233367e-05,-5.284655e-05,0.000100802325
5.548,-4.4802993e-05,-5.4765507e-05,0.00010878535
5.556,-4.7463836e-05,-5.7027373e-05,0.000117243275
5.564,-5.047909e-05,-5.9658978e-05,0.00012638047
5.572,-5.393531e-05,-6.2802996e-05,0.00013594003
5.58,-5.7838322e-05,-6.638127e-05,0.00014660174
5.588,-6.2013074e-05,-7.024204e-05,0.0001577457
5.596,-6.607961e-05,-7.473973e-05,0.00016902707
5.604,-6.9917325e-05,-7.998307e-05,0.00018093076
5.612,-7.394724e-05,-8.533368e-05,0.00019332163
5.62,-7.816874e-05,-9.08174e-05,0.00020611015
5.628,-8.272872e-05,-9.655295e-05,0.00021919017
5.636,-8.7822125e-05,-0.00010254195,0.00023270427
5.644,-9.293098e-05,-0.00010881038,0.00024683005
5.652,-9.8052995e-05,-0.00011550225,0.00026140938
5.66,-0.00010321529,-0.00012246682,0.00027628354
5.668,-0.00010854763,-0.00012989448,0.0002917512
5.676,-0.00011439499,-0.00013757228,0.00030788124
5.684,-0.00012058104,-0.0001459387,0.00032455073
5.692,-0.00012739384,-0.00015484508,0.0003416279
5.7,-0.00013487568,-0.00016412832,0.00035915326
5.708,-0.00014265378,-0.00017354907,0.00037695357
5.716,-0.00014907148,-0.00018232824,0.00039519946
5.724,-0.0001557091,-0.00019154687,0.00041091384
5.732,-0.0001623701,-0.00020082934,0.00042609358
5.74,-0.0001691666,-0.00021005968,0.0004405404
5.748,-0.00017614746,-0.00021887395,0.0004544568
5.756,-0.00018336032,-0.00022767983,0.00046810188
5.764,-0.0001904628,-0.00023682011,0.0004810768
5.772,-0.00019746358,-0.00024624213,0.00049327867
5.78,-0.0002043397,-0.00025590486,0.0005048831
5.788,-0.0002109103,-0.00026555208,0.00051599025
5.796,-0.00021759667,-0.00027519785,0.00052642304
5.804,-0.00022444956,-0.00028487822,0.000536638
5.812,-0.00023125297,-0.00029448266,0.0005465857
5.82,-0.00023812651,-0.00030414775,0.0005555361
5.828,-0.00024478877,-0.0003137368,0.0005638794
5.836,-0.00025127054,-0.00032283628,0.0005718287
5.844,-0.0002576245,-0.00033143215,0.0005792829
5.852,-0.00026419066,-0.0003399458,0.0005859759
5.86,-0.00027093446,-0.00034804523,0.000592035
5.868,-0.00027769574,-0.00035596202,0.0005976318
5.876,-0.0002842697,-0.00036388618,0.0006026667
5.884,-0.00029040145,-0.0003718312,0.00060734164
5.892,-0.00029625415,-0.00037987906,0.0006118933
5.9,-0.0003020133,-0.00038776812,0.0006160388
5.908,-0.00030750368,-0.00039545103,0.0006197257
5.916,-0.00031277948,-0.00040309242,0.0006228254
5.924,-0.0003182071,-0.00040997242,0.00062547484
5.932,-0.0003233688,-0.00041684305,0.00062783214
5.94,-0.0003283356,-0.00042370165,0.0006300703
5.948,-0.0003329716,-0.00043060834,0.0006322996
5.956,-0.00033729823,-0.00043756192,0.0006342032
5.964,-0.00034162347,-0.0004445063,0.0006363081
5.972,-0.00034565013,-0.00045110306,0.0006384414
5.98,-0.00034964358,-0.00045801874,0.0006405231
5.988,-0.00035347845,-0.00046497697,0.0006422527
5.996,-0.00035712915,-0.00047242217,0.00064322416
6.004,-0.0003606553,-0.0004801488,0.00064407056
6.012,-0.00036406948,-0.00048766457,0.00064467744
6.02,-0.0003672612,-0.00049520645,0.000645077
6.028,-0.0003702554,-0.0005030587,0.0006452006
6.036,-0.00037301244,-0.00051098684,0.0006452318
6.044,-0.00037565926,-0.00051853806,0.0006452302
6.052,-0.00037847538,-0.00052605243,0.00064519176
6.06,-0.00038119507,-0.0005335622,0.0006452253
6.068,-0.00038351255,-0.00054135703,0.00064535375
6.076,-0.00038586784,-0.0005491323,0.0006457929
6.084,-0.0003884115,-0.0005565531,0.00064655824
6.092,-0.00039091715,-0.00056369643,0.00064696127
6.1,-0.00039263646,-0.0005703001,0.00064699317
6.108,-0.00039387753,-0.0005769852,0.000646573
6.116,-0.0003949086,-0.00058378454,0.00064621767
6.124,-0.00039589684,-0.0005906669,0.000645672
6.132,-0.00039666804,-0.00059565244,0.0006450996
6.14,-0.0003979575,-0.00060069107,0.00064452225
6.148,-0.00039940825,-0.00060563517,0.00064396515
6.156,-0.00040053664,-0.0006108962,0.00064362865
6.164,-0.00040124296,-0.00061633374,0.0006433638
6.172,-0.00040171185,-0.00062162435,0.0006431076
6.18,-0.00040173525,-0.00062679016,0.0006425256
6.188,-0.00040144307,-0.0006320453,0.00064190815
6.196,-0.00040085363,-0.00063739065,0.0006416721
6.204,-0.00040014513,-0.0006426296,0.000640703
6.212,-0.00039976998,-0.00064779754,0.0006398419
6.22,-0.0003997855,-0.0006533779,0.000639039
6.228,-0.00039984664,-0.0006591984,0.0006381841
6.236,-0.00039980808,-0.00066495873,0.0006374971
6.244,-0.00039975398,-0.00067055476,0.0006369484
6.252,-0.0003994829,-0.0006758927,0.00063660025
6.26,-0.00039875557,-0.0006808465,0.00063645205
6.268,-0.00039761263,-0.0006853076,0.00063649775
6.276,-0.00039641175,-0.00068942056,0.000636984
6.284,-0.00039504678,-0.0006933876,0.00063752785
6.292,-0.00039375783,-0.00069746876,0.00063792925
6.3,-0.00039277377,-0.00070187513,0.00063812453
6.308,-0.00039194687,-0.0007063867,0.0006383904
6.316,-0.00039097312,-0.000711144,0.0006387113
6.324,-0.0003901286,-0.00071571814,0.0006391831
6.332,-0.00038924156,-0.00072035164,0.00063991
6.34,-0.00038660446,-0.0007204365,0.0006408775
6.348,-0.00038425953,-0.00072035764,0.0006417263
6.356,-0.00038226863,-0.0007206139,0.000642663
6.364,-0.00038049484,-0.0007210251,0.0006434258
6.372,-0.0003790278,-0.0007213921,0.0006439806
6.38,-0.0003120073,-0.0005732018,0.00036153197
6.388,-0.0003105028,-0.000572782,0.00036266446
6.396,-0.00030914546,-0.00057223276,0.00036409497
6.404,-0.00030813328,-0.0005719432,0.00036630034
6.412,-0.00030717274,-0.00057178474,0.00045236945
6.42,-0.00030619168,-0.00057161466,0.0005360842
6.428,-0.00030507482,-0.00057132053,0.0006173551
6.436,-0.0003038837,-0.0005705722,0.00069639087
6.444,-0.00030262218,-0.0005692299,0.0006902814
6.452,-0.00030146286,-0.0005675551,0.00068449974
6.46,-0.000300166,-0.00056596874,0.00067925453
6.468,-0.00029855012,-0.0005641654,0.00067451596
6.476,-0.00029683308,-0.0005624572,0.00081655383
6.484,-0.0002954531,-0.0005609185,0.0009547174
6.492,-0.00029428105,-0.0005593721,0.0010890663
6.5,-0.00029349842,-0.00055817206,0.00121966
6.508,-0.00029287772,-0.00055719307,0.0014868379
6.516,-0.00029248977,-0.0005559075,0.0017463863
6.524,-0.00029239498,-0.0005541872,0.0019986928
6.532,-0.00029264504,-0.0005521564,0.0022439659
6.54,-0.00029306905,-0.0005503266,0.0024819672
6.548,-0.00029353058,-0.0005486425,0.0028066635
6.556,-0.00029394543,-0.0005467558,0.0031216145
6.564,-0.00029448656,-0.00054490304,0.0034279227
6.572,-0.00029508528,-0.00054292026,0.00372535
6.58,-0.00029617138,-0.0005410958,0.0040529966
6.588,-0.0002971924,-0.0005398307,0.0043717325
6.596,-0.0002978131,-0.0005385573,0.004681349
6.604,-0.00029840475,-0.0005372217,0.0049820542
6.612,-0.00029889034,-0.0005361918,0.0053217113
6.62,-0.00029921465,-0.00053541246,0.005651355
6.628,-0.0002996698,-0.00053432095,0.0059717894
6.636,-0.00030030427,-0.00053293724,0.0062834024
6.644,-0.00030121848,-0.0005313095,0.0065647066
6.652,-0.00030239866,-0.00052957196,0.0068379045
6.66,-0.000303924,-0.0005282352,0.0071032047
6.668,-0.00030577258,-0.0005273409,0.0074453354
6.676,-0.00030754937,-0.000526882,0.007715285
6.684,-0.00030911717,-0.00052664574,0.007977426
6.692,-0.0003108929,-0.00052656734,0.008232206
6.7,-0.00031245715,-0.0005282006,0.008479595
